 741 09
  74 0a
3447 20
   7 22
   1 23
 130 24
   4 26
   6 27
  16 28
  16 29
 427 2c
 886 2d
 424 2e
 411 2f
 358 30
 364 31
 290 32
 122 33
  76 34
 135 35
 207 36
 151 37
  68 38
  54 39
  78 3a
   1 3b
   2 3d
   1 3f
   1 40
 158 41
  71 42
 177 43
  44 44
  42 45
  37 46
  60 47
  26 48
 127 49
  27 4a
  32 4b
  39 4c
 116 4d
  57 4e
  29 4f
  86 50
   2 51
  37 52
 143 53
 134 54
   7 55
 103 56
  17 57
   6 58
  15 59
   1 5a
   9 5f
2051 61
 294 62
 850 63
 911 64
2746 65
 454 66
 444 67
 855 68
1947 69
  20 6a
 216 6b
1142 6c
 708 6d
2108 6e
1657 6f
 531 70
  17 71
1712 72
1483 73
1790 74
 809 75
 253 76
 342 77
  30 78
 348 79
  40 7a
  24 80
   5 82
   4 94
  15 99
   3 9c
   2 9d
  53 a0
   4 a3
   5 ac
  57 c2
  29 e2
