584801	2016-Jan-06	 ng 	Aver, a 5.5-year-old, Columbus, Oh.-based company whose data management platform promises to simplify the healthcare reimbursement process, has raised $13.6 million in funding led by Heritage Group, with participation from Cardinal Health, GE Ventures, Hearst Health Ventures, and affiliates ofNCT Ventures and StartUp Health.
584802	2016-Jan-06	 ng 	Entac Medical, a 4.5-year-old, Memphis, Tn.-based predictive analytics company that’s developing noninvasive devices to predict and diagnose gastrointestinal and other medical conditions, has raised an undisclosed amount of Series A funding led by Innova Memphis, with participation from Angel Syndicates Central, an angel syndicate located in Huntsville, Al., and the Angel Round Table of Johnson City, Tn.
584803	2016-Jan-06	 ng 	Flatiron Health, a three-year-old, New York-based maker of oncology software, has raised $175 million in Series C funding led by Roche, with participation from Allen & Co., Baillie Gifford and Casdin Capital.
584804	2016-Jan-06	 ng 	Kolibree, a two-year-old, Paris, France-based hardware startup focused on smart toothbrushes for kids, has raised $4 million in venture funding in a two-phased equity seed round that includes Cap Horn Invest, the Dental Investment Group for Health, Innovacom, SEB Alliance and SOS Ventures. Venture Capital Dispatch has more here.
584805	2016-Jan-06	 ng 	Mycity4kids, a five-year-old, Gurgaon, India-based online-content platform for children, has raised $3 million from SIDBI Venture Capital Limited and YourNest Angel Fund. The Business Standard has more here.
584806	2016-Jan-06	 ng 	NextCure, a new, New Haven, Ct.-based biopharmaceutical company focused on the discovery and development of new immuno-oncology products, has raised $67 million in Series A funding from Canaan Partners, Lilly Asia Ventures, OrbiMed Advisors, Pfizer, Sofinnova Ventures, and Alexandria Venture Investments.
584807	2016-Jan-06	 ng 	Petra Pharma, a new, New York City-based developer of small molecule inhibitors for the treatment of cancer and metabolic diseases, has raised $48 million in Series A funding from AbbVie, Alexandria Venture Investments, ARCH Venture Partners, Eli Lilly and Company, Harris & Harris Group, Innovate NY Fund, Johnson & Johnson Innovation, The Partnership Fund for New York City, Pfizer Venture Investments, Watson Fund and WuXi PharmaTech. Xconomy has more here.
584808	2016-Jan-06	 ng 	Toast, a four-year-old, Boston-based service that includes a point-of-sale tool for restaurants, has raised $30 million in a round led by Bessemer Venture Partners, with Google Ventures participating. TechCrunch has more here.
584809	2016-Jan-06	 ng 	Tracxn, a 2.5-year-old, Palo Alto, Ca.-based company that tracks and analyzes data about startups, has added entrepreneur Ratan Tata as an angel investor, though amount of funding it raised from him is undisclosed. TechCrunch has more here.
584810	2016-Jan-06	 ng 	UIEvolution, a 15-year-old, Seattle, Wa.-based maker of connected device software platforms for the automotive, hotel and cruise industries, has raised $5 million in funding from The Mirai Creation Fund. More here.
584811	2016-Jan-06	 ng 	Xfers, a nearly two-year-old, Singapore-based startup that wants to simplify bank transfers, has raised $2.5 million in seed funding from Facebook co-founder Eduardo Saverin, Lazena Investment, Golden Gate Ventures, 500 Startups, GMO Venture Partners, Partech Ventures, BWB Ventures, and Convergence Ventures. TechCrunch has more here.
585001	2016-Jan-08	 ng 	Agilence, a nine-year-old, Mt. Laurel, N.J.-based data analytics company, has raised $6 million in Series B funding led by Arrowroot Capital, with participation from previous investor Aster Capitol. More here.
585002	2016-Jan-08	 ng 	Alector, a two-year-old, San Francisco-based biotech company pioneering the discovery and development of first-in-class, immuno-modulatory therapies for Alzheimer’s disease and other neurodegenerative disorders, has raised $29.5 million in Series D funding led by the Dementia Discovery Fund, with new investors Amgen Ventures and AbbVie participating. More here.
585003	2016-Jan-08	 ng 	ASLAN Pharmaceuticals, a five-year-old, Singapore-based developer of immunotherapies and targeted agents for Asia-prevalent tumor types, has raised $43 million in Series C funding, including from MVP Capital Partners and Accuron Technologies, a wholly-owned subsidiary of Temasek Holdings.More here.
585004	2016-Jan-08	 ng 	Cortexyme, a three-year-old, South San Francisco-based company at work on therapeutics and diagnostics for Alzheimer’s disease and other degenerative disorders, has raised $15 million in Series A funding led by Pfizer, along with Takeda Pharmaceutical Company through its venture arm, and earlier investor Dolby Family Ventures. Cortexyme previously raised roughly $1 million, including an investment award from Breakout Labs.
585005	2016-Jan-08	 ng 	Cloud Elements, a 3.5-year-old, Denver-based provider of a cloud-based API platform, has raised $5 million in new Series A funding from Access Venture Partners, among others. More here.
585006	2016-Jan-08	 ng 	Deposit Solutions, a four-year-old, Germany-based open-architecture platform for retail deposits in Europe, has raised roughly $7 million in funding led by FinLab AG, with participation from Peter Thiel, e.ventures, Stefan Wiskemann, Stefan Glanzer and Christoph Linkwitz.
585007	2016-Jan-08	 ng 	Dibs Technology, a year-old, New York-based company that makes dynamic-pricing technology for the fitness club market, has raised $1 million in seed funding. Gree Ventures led the round, and was joined by Comcast Ventures‘ Catalyst Fund, Caerus and Dreamit Ventures.
585008	2016-Jan-08	 ng 	MakeMyTrip, a 15-year-old, Gurgaon, India-based travel booking site, has received an investment of $180 million from Ctrip, a China-based travel booking site. TechCrunch has more here.
585009	2016-Jan-08	 ng 	KidPass, a year-old, New York-based startup whoses membership passes help parents discover and book children’s activities, has raised $325,000 in seed funding from Rugged Ventures, Bionic Fund, CoVenture and individual investors.
585010	2016-Jan-08	 ng 	MyMusicTaste, a four-year-old, Seoul-based startup that gauges fan interest to help figure out where to plan concerts, has raised $10 million in Series A funding led by Softbank Ventures Korea. Other participants in the round include Samsung Ventures, Formation 8, Golden Gate Ventures, Timewise Investment, Partners Investment, Bokwang Ventures Investment, and DT Capital. TechCrunch has more here.
585011	2016-Jan-08	 ng 	PierianDx, a year-old, St. Louis-based provider of genomic software and services for personalized medicine development, has raised $9.25 million in Series A funding led by Health Catalyst Capital Management, with participation from Ocean Road Advisors, Inova Translational Medicine Institute and ARUP Laboratories. More here.
585012	2016-Jan-08	 ng 	Platzi, a two-year-old, Mountain View, Ca.-based online education startup that offers live streaming classes on design, marketing and code, has raised $2.1 million in seed funding from Omidyar Network, 500 Startups, Nazca Ventures and Amasia Ventures.
585013	2016-Jan-08	 ng 	Scalr, a seven-year-old, San Francisco-based company whose enterprise cloud management platform is used by NASA’s Jet Propulsion Lab, the FDA, Autodesk, and many others, has just raised $7 million from OpenView Venture Partners. More here.
585014	2016-Jan-08	 ng 	StartEngine, a four-year-old, Santa Monica, Ca.-based equity crowdfunding platform, has raised $5.5 million in Series A funding from SE Agoura Investment. More here.
585015	2016-Jan-08	 ng 	Xeris Pharmaceuticals, a 10-year-old, Austin, Tex.-based company that’s developing patient-friendly injectables for indications in diabetes, epilepsy, and immunology, has raised $41 million in Series C funding led by Redmile Group, with participation from Deerfield Management, Sabby Management, The McNair Group, and others. MedCity News has more here.
