0001	2016-Jan-06	 ng 	Aver	5.5-year-old	Columbus, Oh.	unk	$13.6	Aver, a 5.5-year-old, Columbus, Oh.-based company whose data management platform promises to simplify the healthcare reimbursement process, has raised $13.6 million in funding led by Heritage Group, with participation from Cardinal Health, GE Ventures, Hearst Health Ventures, and affiliates ofNCT Ventures and StartUp Health.
0002	2016-Jan-06	 ng 	Entac Medical	4.5-year-old	Memphis, Tn.	Series A 	unk	Entac Medical, a 4.5-year-old, Memphis, Tn.-based predictive analytics company that’s developing noninvasive devices to predict and diagnose gastrointestinal and other medical conditions, has raised an undisclosed amount of Series A funding led by Innova Memphis, with participation from Angel Syndicates Central, an angel syndicate located in Huntsville, Al., and the Angel Round Table of Johnson City, Tn.
0003	2016-Jan-06	 ng 	Flatiron Health	three-year-old	New York	Series C 	$175	Flatiron Health, a three-year-old, New York-based maker of oncology software, has raised $175 million in Series C funding led by Roche, with participation from Allen & Co., Baillie Gifford and Casdin Capital.
0004	2016-Jan-06	 ng 	Kolibree	two-year-old	Paris, France	unk	$4	Kolibree, a two-year-old, Paris, France-based hardware startup focused on smart toothbrushes for kids, has raised $4 million in venture funding in a two-phased equity seed round that includes Cap Horn Invest, the Dental Investment Group for Health, Innovacom, SEB Alliance and SOS Ventures. Venture Capital Dispatch has more here.
0005	2016-Jan-06	 ng 	Mycity4kids	five-year-old	Gurgaon, India	unk	$3	Mycity4kids, a five-year-old, Gurgaon, India-based online-content platform for children, has raised $3 million from SIDBI Venture Capital Limited and YourNest Angel Fund. The Business Standard has more here.
0006	2016-Jan-06	 ng 	NextCure	new	unk	Series A 	$67	NextCure, a new, New Haven, Ct.-based biopharmaceutical company focused on the discovery and development of new immuno-oncology products, has raised $67 million in Series A funding from Canaan Partners, Lilly Asia Ventures, OrbiMed Advisors, Pfizer, Sofinnova Ventures, and Alexandria Venture Investments.
0007	2016-Jan-06	 ng 	Petra Pharma	new	unk	Series A 	$48	Petra Pharma, a new, New York City-based developer of small molecule inhibitors for the treatment of cancer and metabolic diseases, has raised $48 million in Series A funding from AbbVie, Alexandria Venture Investments, ARCH Venture Partners, Eli Lilly and Company, Harris & Harris Group, Innovate NY Fund, Johnson & Johnson Innovation, The Partnership Fund for New York City, Pfizer Venture Investments, Watson Fund and WuXi PharmaTech. Xconomy has more here.
0008	2016-Jan-06	 ng 	Toast	four-year-old	Boston	unk	$30	Toast, a four-year-old, Boston-based service that includes a point-of-sale tool for restaurants, has raised $30 million in a round led by Bessemer Venture Partners, with Google Ventures participating. TechCrunch has more here.
0009	2016-Jan-06	 ng 	Tracxn	2.5-year-old	Palo Alto, Ca.	unk	unk	Tracxn, a 2.5-year-old, Palo Alto, Ca.-based company that tracks and analyzes data about startups, has added entrepreneur Ratan Tata as an angel investor, though amount of funding it raised from him is undisclosed. TechCrunch has more here.
0010	2016-Jan-06	 ng 	UIEvolution	15-year-old	Seattle, Wa.	unk	$5	UIEvolution, a 15-year-old, Seattle, Wa.-based maker of connected device software platforms for the automotive, hotel and cruise industries, has raised $5 million in funding from The Mirai Creation Fund. More here.
0011	2016-Jan-06	 ng 	Xfers	nearly two-year-old	Singapore	seed fund	$2.5	Xfers, a nearly two-year-old, Singapore-based startup that wants to simplify bank transfers, has raised $2.5 million in seed funding from Facebook co-founder Eduardo Saverin, Lazena Investment, Golden Gate Ventures, 500 Startups, GMO Venture Partners, Partech Ventures, BWB Ventures, and Convergence Ventures. TechCrunch has more here.
